WahlbezirksNr	WahlbezirksName	WahlraumZeile1	WahlraumZeile2	WahlraumZeile3	Wahlraum barrierefrei	WahlbehˆrdeName	WahlbehˆrdeZeile1	WahlbehˆrdeZeile2	WahlbehˆrdeZeile3	Ortschaftsname	Wahleinteilung
1501	Eiche - Altes Rad Ost			Kindertagesst‰tte Wilde Fr¸chtchen			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1503	Eiche - Altes Rad West/Lindstedter Str.			Kindertagesst‰tte Turmspatzen			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1504	Eiche - Am Tempelberg/Carl-D‰hne-Str.	9048	Briefwahlbezirk 2301,2302	Grundschule Ludwig Renn (2)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1502	Eiche - Kaiser-Friedrich-Str. S¸d			Grundschule Ludwig Renn (2)			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8403	Fahrland - An der Jubelitz			Kulturladen Fahrland		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8402	Fahrland - Kartzower Dorfstr.			Regenbogenschule (7)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8404	Fahrland - Kietzer Str/Pastor-Moritz-Str			Regenbogenschule (7)		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
8401	Fahrland - V.-Stechow-Str/Rotkehlchenweg			Feuerwehr-Ger‰tehaus Fahrland			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1701	Golm - Ehrenpfortenbergstr.	9048	Briefwahlbezirk 2301,2302	Universit‰t Potsdam Komplex Golm Haus 14			barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
1702	Golm - Geiselbergstr./Am M¸hlenberg	9048	Briefwahlbezirk 2301,2302	ehemaliges Gemeindeb¸ro Golm		nicht barrierefrei	nicht barrierefrei	Landeshauptstadt Potsdam	Landeshauptstadt Potsdam	Friedrich-Ebert-Straﬂe 79-81	14469 Potsdam
